Territory,Product Line,Customer,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct
East,Gas Mowers,Core US,21,53,16,82,58,46,52,0,0,0,0,0
East,Gas Mowers,Dorn,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Eclipse Shutter,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Great Lakes,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Central,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,East,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Retailer Europe,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,West,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Retailer NA,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Garden Accounts,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Online Channel,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,JC Penny,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Woles,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Manufacturer,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Mid-Atlantic,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,New York,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,North American Affiliates Other,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Northeast,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Northern Plains,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Northwest,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Walk-In Customer,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Other Intercompany,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Other Reseller,0,0,0,0,0,0,0,0,0,0,10,0
East,Gas Mowers,Prairies,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Rockies,0,0,0,0,0,0,0,0,0,0,0,0
East,Gas Mowers,Select Seeds,0,0,0,0,0,0,0,0,0,0,0,0
